khmer_input,robotic_command
ទៅក្រោយ ៦.២៣ ម៉ែត                                                                                             ,"{'action': 'move', 'params': {'distance': 6.23, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ៦.៣៦ ម៉                                                                                               ,"{'action': 'move', 'params': {'distance': 6.36, 'is_forward': False, 'unit': 'meter'}}"
បកក្រោយ ១៩.៤៥ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 19.45, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ៣.៤៧ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 3.47, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៥.២៥ ម៉ែត្រ                                                                                         ,"{'action': 'move', 'params': {'distance': 15.25, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៦.៥៨ ម៉ែត                                                                                          ,"{'action': 'move', 'params': {'distance': 16.58, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៧.៥៦ ម៉ែត្រ                                                                                         ,"{'action': 'move', 'params': {'distance': 17.56, 'is_forward': False, 'unit': 'meter'}}"
យើងទៅមុខ ៨.៣ ម៉ែត្រ                                                                                            ,"{'action': 'move', 'params': {'distance': 8.3, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ១៦.០ ម៉ែត្រ                                                                                            ,"{'action': 'move', 'params': {'distance': 16.0, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ១៦.២៨ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 16.28, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ១៣.០២ ម៉                                                                                              ,"{'action': 'move', 'params': {'distance': 13.02, 'is_forward': False, 'unit': 'meter'}}"
បន្តទៅមុខ ១.០៣ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 1.03, 'is_forward': True, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ១០.៦៨ ម៉ែត                                                                                           ,"{'action': 'move', 'params': {'distance': 10.68, 'is_forward': True, 'unit': 'meter'}}"
បកក្រោយ ២.០៩ ម៉ែត                                                                                             ,"{'action': 'move', 'params': {'distance': 2.09, 'is_forward': False, 'unit': 'meter'}}"
ទៅក្រោយ ១៦.៧៣ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 16.73, 'is_forward': False, 'unit': 'meter'}}"
ទៅមុខ ១៨.៩ ម៉ែត្រ                                                                                              ,"{'action': 'move', 'params': {'distance': 18.9, 'is_forward': True, 'unit': 'meter'}}"
ទៅមុខ ១៤.១៧ ម៉ែត្រ                                                                                             ,"{'action': 'move', 'params': {'distance': 14.17, 'is_forward': True, 'unit': 'meter'}}"
ទៅក្រោយ ១៦.៧៦ ម៉ែត                                                                                            ,"{'action': 'move', 'params': {'distance': 16.76, 'is_forward': False, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ១៥.៦៦ ម៉ែត                                                                                          ,"{'action': 'move', 'params': {'distance': 15.66, 'is_forward': False, 'unit': 'meter'}}"
បន្តទៅមុខ ៨.៧៥ ម៉ែត្រ                                                                                           ,"{'action': 'move', 'params': {'distance': 8.75, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៥.៦៤ ម៉                                                                                             ,"{'action': 'move', 'params': {'distance': 5.64, 'is_forward': False, 'unit': 'meter'}}"
រ៉ូបូតទៅមុខ ៩.៩៩ ម៉                                                                                              ,"{'action': 'move', 'params': {'distance': 9.99, 'is_forward': True, 'unit': 'meter'}}"
បន្តទៅមុខ ១០.៩៩ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 10.99, 'is_forward': True, 'unit': 'meter'}}"
ត្រឡប់ក្រោយ ៦.៣១ ម៉ែត្រ                                                                                          ,"{'action': 'move', 'params': {'distance': 6.31, 'is_forward': False, 'unit': 'meter'}}"
បន្តទៅមុខ ១៤.១៥ ម៉ែត                                                                                           ,"{'action': 'move', 'params': {'distance': 14.15, 'is_forward': True, 'unit': 'meter'}}"
យើងទៅមុខ ១៩.៦៦ ម៉ែត                                                                                           ,"{'action': 'move', 'params': {'distance': 19.66, 'is_forward': True, 'unit': 'meter'}}"
